dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.147228,3.831379,0.183162,1.831625,9.158125,45.790625,6.201468
0.200000,0.420892,3.771197,0.463365,1.401013,-2.153060,-56.555923,5.926207
0.200000,0.889017,3.470478,1.019759,2.781967,6.904772,45.289158,5.560768
0.200000,1.691540,2.618323,2.190318,5.852799,15.354156,42.246920,5.453980
0.200000,3.279122,1.539773,4.109612,9.596467,18.718340,16.820918,5.960932
0.200000,4.980192,1.430740,5.814172,8.522803,-5.368318,-120.433289,0.165225
0.200000,5.981127,1.692502,6.848769,5.172985,-16.749089,-56.903852,0.324468
0.200000,6.491588,1.874257,7.390622,2.709265,-12.318602,22.152432,0.352930
0.200000,6.647100,1.931628,7.556380,0.828788,-9.402386,14.581081,0.353216
0.200000,6.647100,1.931628,7.556380,0.000000,-4.143938,26.292240,0.353216
0.200000,6.647100,1.931628,7.556380,0.000000,0.000000,20.719690,0.353216
